ProductID,ProductName,Category,SubCategory,UnitPrice,CostPrice,LaunchDate,Status
P001,Cloud Storage Pro,Software,Storage,99.99,45.00,2022-01-01,Active
P002,Analytics Dashboard,Software,Analytics,299.99,120.00,2022-01-15,Active
P003,Security Suite,Software,Security,199.99,80.00,2022-02-01,Active
P004,Mobile App Builder,Software,Development,149.99,60.00,2022-02-15,Active
P005,Data Backup Plus,Software,Storage,79.99,35.00,2022-03-01,Active
P006,Business Intelligence,Software,Analytics,499.99,200.00,2022-03-15,Active
P007,Firewall Enterprise,Software,Security,399.99,160.00,2022-04-01,Active
P008,Code Editor Pro,Software,Development,89.99,40.00,2022-04-15,Active
P009,Database Manager,Software,Storage,249.99,100.00,2022-01-20,Active
P010,Report Generator,Software,Analytics,179.99,70.00,2022-02-20,Active
P011,VPN Service,Software,Security,59.99,25.00,2022-03-20,Active
P012,API Gateway,Software,Development,329.99,130.00,2022-04-20,Active
P013,File Sync Tool,Software,Storage,39.99,18.00,2022-01-10,Discontinued
P014,Performance Monitor,Software,Analytics,129.99,50.00,2022-02-10,Active
P015,Encryption Tool,Software,Security,119.99,48.00,2022-03-10,Active